"Santiago",,"Violencia intrafamiliar",,,,,,,,,,
"Cerrillos",2017,,,,,,,,,,,
"Cerro Navia","TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
,91,64,82,76,100,68,90,88,98,74,95,81
,59,54,57,48,41,42,55,40,47,54,45,66
,70,37,73,61,70,69,66,60,67,65,77,65
,40,43,49,30,44,28,50,50,40,45,40,35
,187,188,204,188,174,176,168,197,177,151,166,182
,78,54,97,59,70,58,85,74,48,80,64,75
,140,117,180,115,124,140,133,111,103,119,129,146
,44,25,42,27,34,30,35,39,33,32,26,34
,75,40,70,67,67,66,73,72,70,50,69,72
,29,19,33,25,29,22,28,28,25,33,28,27
,58,49,59,42,47,49,52,56,48,36,54,72
,55,39,64,50,42,62,53,52,61,68,66,55
,62,63,55,47,67,52,59,57,51,59,65,54
,250,197,234,227,223,219,230,246,245,232,203,248
,85,67,82,74,61,62,66,79,80,76,62,84
,49,46,57,42,42,57,37,60,51,46,54,61
,137,116,125,126,121,109,135,101,114,114,119,100
,47,34,47,37,40,39,30,44,29,34,28,41
,180,147,179,145,132,104,135,152,126,110,140,146
,137,103,138,113,127,116,83,116,117,93,110,107
,91,82,95,76,72,84,82,106,83,81,77,101
,98,85,112,99,101,97,102,90,105,80,74,98
,77,67,112,99,79,61,70,72,84,78,91,85
,67,49,59,62,51,45,42,40,43,32,40,54
,76,57,58,47,54,53,55,64,65,40,51,45
,49,52,46,41,46,52,45,32,46,40,43,49
,17,9,13,11,13,12,12,10,16,13,17,23
,409,325,412,348,334,308,406,359,441,357,337,367
,14,17,9,13,16,15,15,16,20,22,18,15
,13,14,22,16,11,14,17,10,14,10,14,8
,81,86,75,68,67,62,69,79,88,75,92,79
,79,46,61,57,59,50,56,74,75,79,56,66
,11,8,9,10,12,7,7,10,5,6,11,8
,253,219,227,187,186,207,207,202,151,201,192,254
,66,69,55,64,83,56,54,60,67,70,86,77
,13,9,10,10,14,17,10,19,21,14,10,17
,48,31,39,59,46,41,25,34,55,40,58,30
,121,79,108,127,127,110,92,126,93,96,120,122
,8,3,4,3,10,1,4,3,9,6,6,4
,31,22,30,23,17,19,16,23,26,28,17,26
,3,8,6,3,8,5,9,7,16,7,9,7
,7,5,7,6,10,9,6,4,3,9,13,9
,62,42,61,58,46,34,34,48,45,49,47,45
,25,20,22,18,25,25,18,24,14,9,15,25
,25,16,23,21,16,34,23,31,33,32,25,27
,52,56,49,42,43,40,53,45,47,60,49,46
,75,48,70,75,62,48,48,74,68,55,52,48
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2019,,,,,,,,,,,
,"TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
,1,2,3,4,5,6,7,8,9,10,11,12
,11.199,9.612,10.843,9.880,10.438,9.879,9.897,10.262,10.439,9.903,9.886,10.883
,4.266,3.519,4.266,3.685,3.745,3.526,3.693,3.866,3.865,3.634,3.700,3.991
,2.870,2.396,2.967,2.477,2.553,2.424,2.524,2.618,2.574,2.409,2.473,2.711
,436,356,443,377,361,337,438,385,475,389,369,390
,171,140,145,135,138,119,132,163,168,160,159,153
,380,328,331,320,329,321,296,315,294,325,346,378
,170,117,155,162,172,144,127,163,147,146,165,168
,239,182,225,214,192,181,176,222,207,205,188,191
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"Violencia intrafamiliar",,,,,,,,,,
,2019,,,,,,,,,,,
,"TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
,1,2,3,4,5,6,7,8,9,10,11,12
,195,198,222,176,195,187,183,182,191,165,168,186
,57,52,69,55,58,58,49,55,61,67,53,61
,105,97,86,68,67,83,69,71,90,83,75,72
,80,57,70,67,71,58,76,87,73,74,68,92
,85,89,98,77,91,66,76,87,87,85,76,94
,91,64,82,76,100,68,90,88,98,74,95,81
,59,54,57,48,41,42,55,40,47,54,45,66
,70,37,73,61,70,69,66,60,67,65,77,65
,40,43,49,30,44,28,50,50,40,45,40,35
,187,188,204,188,174,176,168,197,177,151,166,182
,78,54,97,59,70,58,85,74,48,80,64,75
,140,117,180,115,124,140,133,111,103,119,129,146
,44,25,42,27,34,30,35,39,33,32,26,34
,75,40,70,67,67,66,73,72,70,50,69,72
,29,19,33,25,29,22,28,28,25,33,28,27
,58,49,59,42,47,49,52,56,48,36,54,72
,55,39,64,50,42,62,53,52,61,68,66,55
,62,63,55,47,67,52,59,57,51,59,65,54
,250,197,234,227,223,219,230,246,245,232,203,248
,85,67,82,74,61,62,66,79,80,76,62,84
,49,46,57,42,42,57,37,60,51,46,54,61
,137,116,125,126,121,109,135,101,114,114,119,100
,47,34,47,37,40,39,30,44,29,34,28,41
,180,147,179,145,132,104,135,152,126,110,140,146
,137,103,138,113,127,116,83,116,117,93,110,107
,91,82,95,76,72,84,82,106,83,81,77,101
,98,85,112,99,101,97,102,90,105,80,74,98
,77,67,112,99,79,61,70,72,84,78,91,85
,67,49,59,62,51,45,42,40,43,32,40,54
,76,57,58,47,54,53,55,64,65,40,51,45
,49,52,46,41,46,52,45,32,46,40,43,49
,17,9,13,11,13,12,12,10,16,13,17,23
